Symbol,Name,Type,Keyman,syl,son,cons,cont,del.rel,nas,lat,s.g.,c.g.,voi,cor,ant,distr,high,low,back,round,tense
˧,mid tone,tone,#2,,,,,,,,,,,,,,,,,,
◌̀,low tone,tone,@1,,,,,,,,,,,,,,,,,,
˨,low tone,tone,#1,,,,,,,,,,,,,,,,,,
◌̏,extra low tone,tone,@0,,,,,,,,,,,,,,,,,,
˩,extra low tone,tone,#0,,,,,,,,,,,,,,,,,,
ꜜ,downstep,tone,#<,,,,,,,,,,,,,,,,,,
ꜛ,upstep,tone,#>,,,,,,,,,,,,,,,,,,
◌̌,rising tone,tone,@13,,,,,,,,,,,,,,,,,,
˩˥,rising tone,tone,#04,,,,,,,,,,,,,,,,,,
◌̂,falling tone,tone,@31,,,,,,,,,,,,,,,,,,
˥˩,falling tone,tone,#40,,,,,,,,,,,,,,,,,,
◌᷄,high rising tone,tone,@23,,,,,,,,,,,,,,,,,,
˧˥,high rising tone,tone,#24,,,,,,,,,,,,,,,,,,
◌᷅,low rising tone,tone,@12,,,,,,,,,,,,,,,,,,
˨˧,low rising tone,tone,#12,,,,,,,,,,,,,,,,,,
◌᷈,rising-falling tone,tone,@131,,,,,,,,,,,,,,,,,,
˨˥˨,rising-falling tone,tone,#141,,,,,,,,,,,,,,,,,,
↗,global rise,tone,#>>,,,,,,,,,,,,,,,,,,
↘,global fall,tone,#<<,,,,,,,,,,,,,,,,,,
◌̥,voiceless,diacritic,%,,,,,,,,,,0,,,,,,,,
◌̊,voiceless,diacritic,@,,,,,,,,,,0,,,,,,,,
◌̬,voiced,diacritic,%%,,,,,,,,,,1,,,,,,,,
◌̤,breathy voiced,diacritic,%%%,,,,,,,,1,,,,,,,,,,
◌̰,creaky voiced,diacritic,$$$,,,,,,,,,1,,,,,,,,,
◌ʰ,aspirated,diacritic,h^,,,,,,,,,,,,,,,,,,
◌̹,more rounded,diacritic,++++,,,,,,,,,,,,,,,,,,
◌̜,less rounded,diacritic,____,,,,,,,,,,,,,,,,,,
◌̟,advanced,diacritic,+,,,,,,,,,,,,,,,,,,
◌̠,retracted,diacritic,_,,,,,,,,,,,,,,,,,,
◌̈,centralized,diacritic,*,,,,,,,,,,,,,,,,,,
◌̽,mid-centralized,diacritic,**,,,,,,,,,,,,,,,,,,
◌̩,syllabic,diacritic,$,1,,,,,,,,,,,,,,,,,
◌̯,non-syllabic,diacritic,$$,0,,,,,,,,,,,,,,,,,
◌˞,rhoticity,diacritic,[[[,,,,,,,,,,,,,,,,,,
◌̼,linguolabial,diacritic,{{{{,,,,,,,,,,,,,,,,,,
◌ʷ,labialized,diacritic,w^,,,,,,,,,,,,,,1,,1,1,
◌ʲ,palatalized,diacritic,j^,,,,,,,,,,,,,,,,,,
◌ˠ,velarized,diacritic,g=^,,,,,,,,,,,,,,,,,,
◌ˤ,pharyngealized,diacritic,?<^,,,,,,,,,,,,,,,,,,
ɫ,velarized or pharyngealized,diacritic,l~~,,,,,,,,,,,,,,,,,,
◌̪,dental,diacritic,{,,,,,,,,,,,,,,,,,,
◌̺,apical,diacritic,{{,,,,,,,,,,,,,,,,,,
◌̻,laminal,diacritic,{{{,,,,,,,,,,,,,,,,,,
◌̃,nasalized,diacritic,~,,,,,,1,,,,,,,,,,,,
◌ⁿ,nasal release,diacritic,n^,,,,,,,,,,,,,,,,,,
◌ˡ,lateral release,diacritic,l^,,,,,,,,,,,,,,,,,,
◌̚,no audible release,diacritic,]]],,,,,,,,,,,,,,,,,,
◌̝,raised,diacritic,++,,,,,,,,,,,,,,,,,,
◌̞,lowered,diacritic,__,,,,,,,,,,,,,,,,,,
◌̘,advanced tongue root,diacritic,+++,,,,,,,,,,,,,,,,,,
◌̙,retracted tongue root,diacritic,___,,,,,,,,,,,,,,,,,,
◌͡◌,double articulation / affricate,suprasegmental,#&,,,,,,,,,,,,,,,,,,
◌͜◌,double articulation / affricate,suprasegmental,@&,,,,,,,,,,,,,,,,,,
